,age_grp,sex,ethnicity,inc_cob_participant2,yearssinceentry_grp,prevbcg,reasonforscreening,pop,tb,ltbi,ltbi OR tb != 0
1,"(15,35]",Female,Black African or Caribbean,<40,"(0,5]",NA,Contact,1,0,0,0
2,"(15,35]",Female,Black African or Caribbean,<40,"(0,5]",No,Migrant,2,0,0,0
3,"(15,35]",Female,Black African or Caribbean,<40,"(0,5]",Yes,Contact,3,0,0,0
4,"(15,35]",Female,Black African or Caribbean,<40,"(10,100]",Yes,Contact,12,0,4,1
5,"(15,35]",Female,Black African or Caribbean,<40,"(10,100]",Yes,Migrant,1,0,0,0
6,"(15,35]",Female,Black African or Caribbean,<40,"(5,10]",NA,Contact,1,0,0,0
7,"(15,35]",Female,Black African or Caribbean,<40,"(5,10]",Yes,Contact,5,0,0,0
8,"(15,35]",Female,Black African or Caribbean,<40,"(5,10]",Yes,Migrant,1,0,0,0
9,"(15,35]",Female,Black African or Caribbean,<40,NA,Yes,Contact,1,0,0,0
10,"(15,35]",Female,Black African or Caribbean,>300,"(0,5]",NA,Contact,2,0,1,1
11,"(15,35]",Female,Black African or Caribbean,>300,"(0,5]",NA,Migrant,7,1,4,1
12,"(15,35]",Female,Black African or Caribbean,>300,"(0,5]",No,Contact,1,0,1,1
13,"(15,35]",Female,Black African or Caribbean,>300,"(0,5]",No,Migrant,6,0,1,1
14,"(15,35]",Female,Black African or Caribbean,>300,"(0,5]",Yes,Contact,7,0,1,1
15,"(15,35]",Female,Black African or Caribbean,>300,"(0,5]",Yes,Migrant,19,0,5,1
16,"(15,35]",Female,Black African or Caribbean,>300,"(10,100]",NA,Contact,1,0,0,0
17,"(15,35]",Female,Black African or Caribbean,>300,"(10,100]",Yes,Contact,17,0,6,1
18,"(15,35]",Female,Black African or Caribbean,>300,"(5,10]",NA,Contact,1,0,1,1
19,"(15,35]",Female,Black African or Caribbean,>300,"(5,10]",NA,Migrant,5,0,1,1
20,"(15,35]",Female,Black African or Caribbean,>300,"(5,10]",No,Contact,1,0,0,0
21,"(15,35]",Female,Black African or Caribbean,>300,"(5,10]",No,Migrant,1,0,0,0
22,"(15,35]",Female,Black African or Caribbean,>300,"(5,10]",Yes,Contact,15,0,2,1
23,"(15,35]",Female,Black African or Caribbean,>300,"(5,10]",Yes,Migrant,2,0,1,1
24,"(15,35]",Female,Black African or Caribbean,100-300,"(0,5]",NA,Contact,2,0,0,0
25,"(15,35]",Female,Black African or Caribbean,100-300,"(0,5]",NA,Migrant,9,0,3,1
26,"(15,35]",Female,Black African or Caribbean,100-300,"(0,5]",No,Contact,2,0,0,0
27,"(15,35]",Female,Black African or Caribbean,100-300,"(0,5]",No,Migrant,3,0,1,1
28,"(15,35]",Female,Black African or Caribbean,100-300,"(0,5]",Yes,Contact,20,0,4,1
29,"(15,35]",Female,Black African or Caribbean,100-300,"(0,5]",Yes,Migrant,43,0,17,1
30,"(15,35]",Female,Black African or Caribbean,100-300,"(10,100]",NA,Contact,3,0,1,1
31,"(15,35]",Female,Black African or Caribbean,100-300,"(10,100]",No,Contact,7,0,1,1
32,"(15,35]",Female,Black African or Caribbean,100-300,"(10,100]",Yes,Contact,53,2,12,1
33,"(15,35]",Female,Black African or Caribbean,100-300,"(10,100]",Yes,Migrant,2,0,2,1
34,"(15,35]",Female,Black African or Caribbean,100-300,"(5,10]",NA,Contact,3,0,2,1
35,"(15,35]",Female,Black African or Caribbean,100-300,"(5,10]",NA,Migrant,2,0,2,1
36,"(15,35]",Female,Black African or Caribbean,100-300,"(5,10]",No,Contact,2,0,1,1
37,"(15,35]",Female,Black African or Caribbean,100-300,"(5,10]",No,Migrant,2,0,0,0
